CustomerID,Gender,Age,Tenure_Months,Contract_Type,Payment_Method,Monthly_Charges_INR,Total_Charges_INR,Tech_Support,Paperless_Billing,Churn
CUST-1000,Male,34,11,Month-to-month,Mailed Check,574.49,6287.67,Yes,Yes,0
CUST-1001,Female,26,56,One year,Bank Transfer,740.22,41434.22,No,No,0
CUST-1002,Male,50,67,Two year,Credit Card,774.7,51896.45,Yes,No,0
CUST-1003,Male,37,29,Month-to-month,Mailed Check,1819.67,52811.23,Yes,No,1
CUST-1004,Male,30,9,Month-to-month,Bank Transfer,1625.69,14605.47,No,Yes,1
CUST-1005,Female,45,67,Two year,Bank Transfer,1660.78,111231.39,No,Yes,0
CUST-1006,Male,65,25,Month-to-month,Credit Card,2368.7,59199.37,No,Yes,0
CUST-1007,Male,46,42,Month-to-month,Mailed Check,2006.01,84212.89,No,Yes,1
CUST-1008,Male,30,9,Two year,Bank Transfer,580.46,5187.0,Yes,No,0
CUST-1009,Female,63,40,Month-to-month,Bank Transfer,1063.52,42548.19,No,Yes,0
CUST-1010,Male,52,25,One year,Bank Transfer,1256.87,31377.84,Yes,Yes,0
CUST-1011,Male,23,5,One year,Credit Card,1170.12,5803.69,Yes,Yes,0
CUST-1012,Male,35,11,Month-to-month,Mailed Check,1771.48,19507.72,No,Yes,1
CUST-1013,Male,68,59,Month-to-month,Mailed Check,2261.16,133394.6,Yes,No,1
CUST-1014,Female,22,38,One year,Mailed Check,972.31,36910.32,No,Yes,0
CUST-1015,Male,64,5,Month-to-month,Mailed Check,1513.13,7541.01,Yes,Yes,1
CUST-1016,Female,42,48,Month-to-month,UPI / Electronic,2035.7,97727.81,No,Yes,1
CUST-1017,Female,19,18,One year,UPI / Electronic,1214.68,21841.79,No,Yes,0
CUST-1018,Female,27,70,Month-to-month,Mailed Check,668.86,46819.65,No,Yes,0
CUST-1019,Male,47,37,Month-to-month,Credit Card,1343.89,49686.1,No,No,1
CUST-1020,Female,67,60,Two year,UPI / Electronic,420.49,25238.21,Yes,Yes,0
CUST-1021,Male,62,48,Month-to-month,Bank Transfer,2372.24,113849.13,No,No,1
CUST-1022,Female,22,28,Two year,UPI / Electronic,463.61,12993.78,No,No,0
CUST-1023,Female,50,69,One year,Bank Transfer,1263.6,87219.24,Yes,No,0
CUST-1024,Female,18,40,One year,Mailed Check,1464.74,58600.76,No,No,1
CUST-1025,Female,35,45,Month-to-month,UPI / Electronic,2466.67,110979.72,No,Yes,1
CUST-1026,Female,49,62,Two year,Credit Card,664.25,41159.07,Yes,Yes,0
CUST-1027,Female,64,58,Month-to-month,UPI / Electronic,550.75,31926.24,No,Yes,1
CUST-1028,Female,66,67,One year,UPI / Electronic,318.15,21282.51,Yes,No,0
CUST-1029,Female,28,56,Month-to-month,UPI / Electronic,641.26,35878.68,No,No,1
CUST-1030,Male,38,40,Month-to-month,Mailed Check,755.0,30229.07,Yes,No,0
CUST-1031,Male,43,40,Month-to-month,Credit Card,1686.28,67439.67,No,Yes,1
CUST-1032,Female,42,33,Two year,UPI / Electronic,782.35,25811.15,No,No,0
CUST-1033,Female,39,6,Two year,Credit Card,344.15,2074.3,No,Yes,0
CUST-1034,Female,44,19,Month-to-month,Mailed Check,2117.56,40242.61,No,Yes,1
CUST-1035,Male,66,40,Month-to-month,Bank Transfer,1103.31,44089.14,No,Yes,0
CUST-1036,Female,30,59,One year,UPI / Electronic,1077.13,63583.82,No,Yes,0
CUST-1037,Male,50,59,Month-to-month,Credit Card,964.45,56870.28,Yes,Yes,0
CUST-1038,Male,51,48,Month-to-month,Credit Card,2444.82,117373.67,No,Yes,1
CUST-1039,Male,58,41,One year,Mailed Check,673.25,27630.52,No,Yes,0
CUST-1040,Male,52,13,Month-to-month,UPI / Electronic,2275.12,29598.05,No,No,0
CUST-1041,Male,18,45,Two year,Bank Transfer,2007.97,90366.55,No,No,0
CUST-1042,Female,38,53,Month-to-month,Credit Card,467.26,24716.24,No,No,1
CUST-1043,Female,65,42,Month-to-month,UPI / Electronic,2469.8,103717.64,No,Yes,1
CUST-1044,Female,23,63,Month-to-month,Bank Transfer,896.01,56459.11,No,No,1
